lote,cantidad,clase,sexo,categoria_portal,edad,raza,peso_prom_kg,precio_bs_kg,procedencia,segundo_video
401,5,Vaquilla,hembra,Hembra de recría,3 Años,Brahman SIN PRENEZ,362.73,20.7,CABEZAS,4135
405,5,Vaca,hembra,Vaca gorda,5 Años,Brahman SIN PRENEZ,440.0,17,CABEZAS,3585
406,6,Vaquillona,hembra,Hembra de recría,4 Años,Nelore,405.55,18.5,CUATRO CAÑADAS,4760
408,4,Vaquilla,hembra,Hembra de recría,3 Años,Nelore,137.5,17,PORONGO,4385
416,7,Vaquilla,hembra,Hembra de recría,2 Años,Nelore,274.29,19.6,SAN JOSÉ DE CH.,5010
418,7,Vaquilla,hembra,Hembra de recría,4 Años,Nelore,115.71,17.0,CUATRO CAÑADAS,5710
422,10,Toro,macho,Toro / novillo gordo,3 años,Nelore,194.0,21.3,Cabezas,7385
424,11,Toro,macho,Toro / novillo gordo,3 Años,Nelore,187.27,21.1,CABEZAS,7810
429,15,Toro,macho,Toro / novillo gordo,3 años,Nelore,174.0,20.5,PAILON SUR,7960
430,7,Toro,macho,Toro / novillo gordo,3 Años,Brahman,389.48,19,EL TORNO,6710
435,20,Torillo,macho,Macho de recría,2 Años,Nelore,382.5,22.5,PAILON SUR,10185
437,6,Toro,macho,Toro / novillo gordo,3 Años,Nelore,122.5,20.7,CABEZAS,8160
446,5,Vaquilla,hembra,Hembra de recría,2.5 Años,Nelore,298.0,19,PAILON SUR,2985
447,6,Vaquillona,hembra,Hembra de recría,4 Años,Nelore,345.83,16,LA GUARDIA,3085
451,6,Vaca,hembra,Vaca gorda,5 Años,Nelore,323.33,15.0,WARNES,2685
460,2,Vaca,hembra,Vaca gorda,5 Años,Brahman,422.5,18.6,GUARAYOS,1785
461,15,Ternero,macho,Ternero,10 Meses,Nelore H. DE . T. REG.,166.33,28.5,MONTERO,11185
464,17,Torillo,macho,Macho de recría,2 Años,Anelorado,232.65,24.5,GUARAYOS,10885
468,6,Vaquillona,hembra,Hembra de recría,4 Años,Nelore,107.5,17,CUATRO CAÑADAS,6160
470,10,Toro,macho,Toro / novillo gordo,3 Años,Nelore,127.5,20.9,PAILON SUR,8360
476,1,Vaca,hembra,Vaca gorda,5 Años,Gyr,370.0,16.2,PORONGO,2385
478,1,Vaquilla,hembra,Hembra de recría,2.5 Años,Mestizo,315.0,12.1,PORONGO,935
483,1,Vaquillona,hembra,Hembra de recría,4 Años,Gyr,430.0,18.4,GUARAYOS,685
487,1,Vaca,hembra,Vaca gorda,5 Años,Mestizo,360.0,16.5,PORTACHUELO,810
489,2,Vaquilla,hembra,Hembra de recría,3 Años,Mestizo,365.0,16,CABEZAS,2185
490,1,Novillo,macho,Toro / novillo gordo,4 Años,Mestizo,415.0,18,CABEZAS,2110
493,1,Novillo,macho,Toro / novillo gordo,4 Años,Mestizo,460.0,19.5,ANDRES IBAÑEZ,60
497,1,Vaca,hembra,Vaca gorda,5 Años,Mestizo,350.0,14.4,GUARAYOS,185
499,2,Vaca,hembra,Vaca gorda,5 Años,Mestizo,355.0,15.4,SAN JAVIER,1485
902,1,Vaca,hembra,Vaca gorda,5 Años,Holando,227.9,12.4,LA GUARDIA,1235
907,1,Vaca,hembra,Vaca gorda,5 Años,Nelore,455.0,19,ROBORE,1035
909,3,Vaquillona,hembra,Hembra de recría,4 Años,Nelore,390.0,18.8,SAN JOSÉ DE CH.,2535
914,3,Toro,macho,Toro / novillo gordo,5 Años,Nelore,563.0,19.5,S. IGN.DE MOXOS,9610
922,6,Butorete,macho,Butorete,2 Años,Mediterranea,175.0,18.5,PAILON SUR,9435
924,5,Butorete,macho,Butorete,2 Años,Mediterranea,175.0,18.2,PAILON SUR,9310
930,5,Vaquillona,hembra,Hembra de recría,4 años,Nelore,527.0,19.5,CUATRO CAÑADAS,6510
