lote,cantidad,clase,sexo,edad,raza,peso_prom_kg,precio_bs_kg,subtotal_bs,total_bs,procedencia,segundo_video
552,7,Ternero,macho,8 Meses,Nelore,192.86,26.5,5161.9,36132.75,ROBORE,1950
555,1,Vaca,hembra,5 Años,Nelore,380.0,16.7,6504.65,6504.65,ROBORE,320
642,2,Vaquilla,hembra,2 Años,Nelore AYUNO EXT.,382.5,19.0,7449.19,14898.38,PAILON,160
643,4,Vaca,hembra,5 Años,Nelore AYUNO EXT.,395.0,17.6,7021.52,28086.08,PAILON,820
644,14,Vaquilla,hembra,2 Años,Nelore AYUNO EXT.,270.0,20.2,5508.54,77119.56,PAILON,1760
645,15,Vaquilla,hembra,2 Años,Nelore,264.67,19.4,5185.94,77788.18,PAILON,1640
646,5,Toro,macho,4 Años,Nelore,528.0,21.5,11465.52,57327.6,PORONGO,1140
647,4,Toro,macho,4 Años,Mestizo,588.75,20.8,12368.46,49473.84,PORONGO,1430
648,4,Torillo,macho,2 Años,Mestizo,277.5,18.4,5157.06,20628.24,WARNES,2110
649,1,Vaca,hembra,5 Años,Mestizo,330.0,12.4,4194.3,4194.3,WARNES,3490
650,4,Vaquilla,hembra,3 Años,Mestizo,230.0,15.5,3600.65,14402.6,PORTACHUELO,2410
651,3,Torillo,macho,1 Año,Nelore,223.33,23.7,5425.24,16275.98,SAN JULIAN,2800
652,1,Toro,macho,5 Años,Nelore,815.0,21.4,17877.03,17877.02,MACHARETY,2990
653,7,Vaquillona,hembra,4 Años,Nelore,312.86,14.5,4581.83,32072.55,SAN RAFAEL DE V.,2580
654,2,Vaquilla,hembra,2 Años,Nelore,290.0,21.0,6242.25,12484.5,SAN RAFAEL DE V.,610
655,1,Vaca,hembra,5 Años,Nelore OBSERVADO,355.0,12.3,4475.66,4475.66,SAN RAFAEL DE V.,3390
656,1,Vaca,hembra,5 Años,Nelore,450.0,17.3,7979.63,7979.62,SAN RAFAEL DE V.,470
657,4,Toro,macho,4 Años,Nelore,555.0,20.5,11491.28,45965.1,PORONGO,1280
658,12,Torillo,macho,2 Años,Nelore,340.0,22.0,7554.8,90657.6,WARNES,2270
659,1,Vaquilla,hembra,3 Años,Anelorado OBSERVADO,240.0,11.5,2829.0,2829.0,PORTACHUELO,3220
